Nodes,Latitude,Longitude
1,46.730651,-117.169465
2,46.730651,-117.1694051
3,46.73579688,-117.1666723
4,46.74127304,-117.1666723
8,46.74641891,-117.163939
9,46.75116134,-117.1599427
10,46.75116127,-117.1559465
11,46.75116127,-117.1558866
6,46.74107652,-117.1574902
7,46.74106939,-117.1574311
5,46.73612633,-117.1555656
12,46.73060994,-117.169466
14,46.72965874,-117.1615982
18,46.72894539,-117.1556973
19,46.72846784,-117.1477387
20,46.72846741,-117.1377523
21,46.72846741,-117.1376924
13,46.7241775,-117.1660508
16,46.72143921,-117.159133
17,46.72143921,-117.159073
15,46.722891,-117.1735643
1,46.730651,-117.169465